country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1952,28.801,8425333,779.4453145
Afghanistan,Asia,1957,30.331999999999997,9240934,820.8530296
Afghanistan,Asia,1962,31.997,10267083,853.1007099999999
Afghanistan,Asia,1967,34.02,11537966,836.1971382
Afghanistan,Asia,1972,36.088,13079460,739.9811057999999
Afghanistan,Asia,1977,38.438,14880372,786.11336
Afghanistan,Asia,1982,39.854,12881816,978.0114388000001
Afghanistan,Asia,1987,40.821999999999996,13867957,852.3959447999999
Afghanistan,Asia,1992,41.674,16317921,649.3413952000001
Afghanistan,Asia,1997,41.763000000000005,22227415,635.341351
